[I 2024-03-23 10:04:40,835] A new study created in memory with name: no-name-592f1f44-dbdf-4fd1-af17-1dc5a5448f2b
[I 2024-03-23 10:13:12,663] Trial 27 finished with value: 3.820680983066559 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:13:39,032] Trial 28 finished with value: 3.989685459931691 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:13:48,050] Trial 29 finished with value: 3.92003573179245 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:13:52,776] Trial 30 finished with value: 3.994073140621185 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:14:02,385] Trial 31 finished with value: 3.8656935811042787 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:14:16,524] Trial 32 finished with value: 3.9567263960838317 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:14:33,376] Trial 33 finished with value: 3.7338650941848757 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:15:05,805] Trial 34 finished with value: 3.799811992645264 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:15:15,569] Trial 35 finished with value: 3.8451281428337096 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:15:47,016] Trial 36 finished with value: 3.702611522674561 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:16:04,461] Trial 37 finished with value: 3.8664440552393593 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:16:52,182] Trial 38 finished with value: 3.8285421061515805 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:17:09,901] Trial 39 finished with value: 3.8583875576655067 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:17:25,640] Trial 40 finished with value: 3.8425369834899903 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:18:14,518] Trial 41 finished with value: 3.8127941250801087 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:18:41,687] Trial 42 finished with value: 3.943192903200786 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 9 with value: 3.6558455371856686.
[I 2024-03-23 10:19:34,972] Trial 43 finished with value: 3.6479559755325317 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:19:51,668] Trial 44 finished with value: 3.8936632049083713 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:20:00,632] Trial 45 finished with value: 3.8380685687065124 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:20:18,463] Trial 46 finished with value: 3.715004087686539 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:20:37,808] Trial 47 finished with value: 3.789132789770762 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:20:52,536] Trial 48 finished with value: 3.9059581577777864 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:21:39,202] Trial 49 finished with value: 3.707345297336578 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:21:57,101] Trial 50 finished with value: 3.79677502711614 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:22:16,299] Trial 51 finished with value: 3.797573502858479 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:22:24,940] Trial 52 finished with value: 3.784754455089569 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:22:29,796] Trial 53 finished with value: 3.883954256772995 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:22:44,460] Trial 54 finished with value: 4.236126053333282 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:22:58,720] Trial 55 finished with value: 3.8842580676078797 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:23:45,739] Trial 56 finished with value: 3.8292401719093325 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:24:17,363] Trial 57 finished with value: 3.7437949419021614 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
