Package,Version,License
pyobjc-framework-AppleScriptKit,10.1,MIT License\
pyobjc-framework-AppleScriptObjC,10.1,MIT License\
pyobjc-framework-ApplicationServices,10.1,MIT License\
pyobjc-framework-AudioVideoBridging,10.1,MIT License\
pyobjc-framework-AuthenticationServices,10.1,MIT License\
pyobjc-framework-AutomaticAssessmentConfiguration,10.1,MIT License\
pyobjc-framework-Automator,10.1,MIT License\
pyobjc-framework-BackgroundAssets,10.1,MIT License\
pyobjc-framework-BusinessChat,10.1,MIT License\
pyobjc-framework-CFNetwork,10.1,MIT License\
pyobjc-framework-CalendarStore,10.1,MIT License\
pyobjc-framework-CallKit,10.1,MIT License\
pyobjc-framework-Cinematic,10.1,MIT License\
pyobjc-framework-ClassKit,10.1,MIT License\
pyobjc-framework-CloudKit,10.1,MIT License\
pyobjc-framework-Cocoa,10.1,MIT License\
pyobjc-framework-Collaboration,10.1,MIT License\
pyobjc-framework-ColorSync,10.1,MIT License\
pyobjc-framework-Contacts,10.1,MIT License\
pyobjc-framework-ContactsUI,10.1,MIT License\
pyobjc-framework-CoreAudio,10.1,MIT License\
pyobjc-framework-CoreAudioKit,10.1,MIT License\
pyobjc-framework-CoreBluetooth,10.1,MIT License\
pyobjc-framework-CoreData,10.1,MIT License\
pyobjc-framework-CoreHaptics,10.1,MIT License\
pyobjc-framework-CoreLocation,10.1,MIT License\
pyobjc-framework-CoreMIDI,10.1,MIT License\
pyobjc-framework-CoreML,10.1,MIT License\
pyobjc-framework-CoreMedia,10.1,MIT License\
pyobjc-framework-CoreMediaIO,10.1,MIT License\
pyobjc-framework-CoreMotion,10.1,MIT License\
pyobjc-framework-CoreServices,10.1,MIT License\
pyobjc-framework-CoreSpotlight,10.1,MIT License\
pyobjc-framework-CoreText,10.1,MIT License\
pyobjc-framework-CoreWLAN,10.1,MIT License\
pyobjc-framework-CryptoTokenKit,10.1,MIT License\
pyobjc-framework-DVDPlayback,10.1,MIT License\
pyobjc-framework-DataDetection,10.1,MIT License\
pyobjc-framework-DeviceCheck,10.1,MIT License\
pyobjc-framework-DictionaryServices,10.1,MIT License\
pyobjc-framework-DiscRecording,10.1,MIT License\
pyobjc-framework-DiscRecordingUI,10.1,MIT License\
pyobjc-framework-DiskArbitration,10.1,MIT License\
pyobjc-framework-EventKit,10.1,MIT License\
pyobjc-framework-ExceptionHandling,10.1,MIT License\
pyobjc-framework-ExecutionPolicy,10.1,MIT License\
pyobjc-framework-ExtensionKit,10.1,MIT License\
pyobjc-framework-ExternalAccessory,10.1,MIT License\
pyobjc-framework-FSEvents,10.1,MIT License\
pyobjc-framework-FileProvider,10.1,MIT License\
pyobjc-framework-FileProviderUI,10.1,MIT License\
pyobjc-framework-FinderSync,10.1,MIT License\
pyobjc-framework-GameCenter,10.1,MIT License\
pyobjc-framework-GameController,10.1,MIT License\
pyobjc-framework-GameKit,10.1,MIT License\
pyobjc-framework-GameplayKit,10.1,MIT License\
pyobjc-framework-HealthKit,10.1,MIT License\
pyobjc-framework-IOBluetooth,10.1,MIT License\
pyobjc-framework-IOBluetoothUI,10.1,MIT License\
pyobjc-framework-IOSurface,10.1,MIT License\
pyobjc-framework-ImageCaptureCore,10.1,MIT License\
pyobjc-framework-InputMethodKit,10.1,MIT License\
pyobjc-framework-InstallerPlugins,10.1,MIT License\
pyobjc-framework-InstantMessage,10.1,MIT License\
pyobjc-framework-Intents,10.1,MIT License\
pyobjc-framework-IntentsUI,10.1,MIT License\
pyobjc-framework-KernelManagement,10.1,MIT License\
pyobjc-framework-LatentSemanticMapping,10.1,MIT License\
pyobjc-framework-LaunchServices,10.1,MIT License\
pyobjc-framework-LinkPresentation,10.1,MIT License\
pyobjc-framework-LocalAuthentication,10.1,MIT License\
pyobjc-framework-LocalAuthenticationEmbeddedUI,10.1,MIT License\
pyobjc-framework-MLCompute,10.1,MIT License\
pyobjc-framework-MailKit,10.1,MIT License\
pyobjc-framework-MapKit,10.1,MIT License\
pyobjc-framework-MediaAccessibility,10.1,MIT License\
pyobjc-framework-MediaLibrary,10.1,MIT License\
pyobjc-framework-MediaPlayer,10.1,MIT License\
pyobjc-framework-MediaToolbox,10.1,MIT License\
pyobjc-framework-Metal,10.1,MIT License\
pyobjc-framework-MetalFX,10.1,MIT License\
pyobjc-framework-MetalKit,10.1,MIT License\
pyobjc-framework-MetalPerformanceShaders,10.1,MIT License\
pyobjc-framework-MetalPerformanceShadersGraph,10.1,MIT License\
pyobjc-framework-MetricKit,10.1,MIT License\
pyobjc-framework-ModelIO,10.1,MIT License\
pyobjc-framework-MultipeerConnectivity,10.1,MIT License\
pyobjc-framework-NaturalLanguage,10.1,MIT License\
pyobjc-framework-NetFS,10.1,MIT License\
pyobjc-framework-Network,10.1,MIT License\
pyobjc-framework-NetworkExtension,10.1,MIT License\
pyobjc-framework-NotificationCenter,10.1,MIT License\
pyobjc-framework-OSAKit,10.1,MIT License\
pyobjc-framework-OSLog,10.1,MIT License\
pyobjc-framework-OpenDirectory,10.1,MIT License\
pyobjc-framework-PHASE,10.1,MIT License\
pyobjc-framework-PassKit,10.1,MIT License\
pyobjc-framework-PencilKit,10.1,MIT License\
pyobjc-framework-Photos,10.1,MIT License\
pyobjc-framework-PhotosUI,10.1,MIT License\
pyobjc-framework-PreferencePanes,10.1,MIT License\
pyobjc-framework-PushKit,10.1,MIT License\
pyobjc-framework-Quartz,10.1,MIT License\
pyobjc-framework-QuickLookThumbnailing,10.1,MIT License\
pyobjc-framework-ReplayKit,10.1,MIT License\
pyobjc-framework-SafariServices,10.1,MIT License\
pyobjc-framework-SafetyKit,10.1,MIT License\
pyobjc-framework-SceneKit,10.1,MIT License\
pyobjc-framework-ScreenCaptureKit,10.1,MIT License\
pyobjc-framework-ScreenSaver,10.1,MIT License\
pyobjc-framework-ScreenTime,10.1,MIT License\
pyobjc-framework-ScriptingBridge,10.1,MIT License\
pyobjc-framework-SearchKit,10.1,MIT License\
pyobjc-framework-Security,10.1,MIT License\
pyobjc-framework-SecurityFoundation,10.1,MIT License\
pyobjc-framework-SecurityInterface,10.1,MIT License\
pyobjc-framework-SensitiveContentAnalysis,10.1,MIT License\
pyobjc-framework-ServiceManagement,10.1,MIT License\
pyobjc-framework-SharedWithYou,10.1,MIT License\
pyobjc-framework-SharedWithYouCore,10.1,MIT License\
pyobjc-framework-ShazamKit,10.1,MIT License\
pyobjc-framework-Social,10.1,MIT License\
pyobjc-framework-SoundAnalysis,10.1,MIT License\
pyobjc-framework-Speech,10.1,MIT License\
pyobjc-framework-SpriteKit,10.1,MIT License\
pyobjc-framework-StoreKit,10.1,MIT License\
pyobjc-framework-Symbols,10.1,MIT License\
pyobjc-framework-SyncServices,10.1,MIT License\
pyobjc-framework-SystemConfiguration,10.1,MIT License\
pyobjc-framework-SystemExtensions,10.1,MIT License\
pyobjc-framework-ThreadNetwork,10.1,MIT License\
pyobjc-framework-UniformTypeIdentifiers,10.1,MIT License\
pyobjc-framework-UserNotifications,10.1,MIT License\
pyobjc-framework-UserNotificationsUI,10.1,MIT License\
pyobjc-framework-VideoSubscriberAccount,10.1,MIT License\
pyobjc-framework-VideoToolbox,10.1,MIT License\
pyobjc-framework-Virtualization,10.1,MIT License\
pyobjc-framework-Vision,10.1,MIT License\
pyobjc-framework-WebKit,10.1,MIT License\
pyobjc-framework-iTunesLibrary,10.1,MIT License\
pyobjc-framework-libdispatch,10.1,MIT License\
pyobjc-framework-libxpc,10.1,MIT License\
pyparsing,3.1.1,MIT License\
pytz,2023.3.post1,MIT License\
referencing,0.31.0,MIT License\
rpds-py,0.13.1,MIT License\
ruamel.yaml,0.18.5,MIT License\
ruamel.yaml.clib,0.2.7,MIT License\
six,1.16.0,MIT License\
soupsieve,2.5,MIT License\
stack-data,0.6.2,MIT License\
textblob,0.17.1,MIT License\
toml,0.10.2,MIT License\
tomli,2.0.1,MIT License\
truststore,0.8.0,MIT License\
urllib3,2.1.0,MIT License\
yarg,0.1.9,MIT License\
zipp,3.17.0,MIT License\
tqdm,4.66.1,MIT License; Mozilla Public License 2.0 (MPL 2.0)\
certifi,2023.11.17,Mozilla Public License 2.0 (MPL 2.0)\
archspec,0.2.2,Other/Proprietary License\
defusedxml,0.7.1,Python Software Foundation License\
matplotlib,3.8.2,Python Software Foundation License\
typing_extensions,4.8.0,Python Software Foundation License\
PyQt5-sip,12.13.0,SIP\
sip,6.7.12,SIP\
filelock,3.13.1,The Unlicense (Unlicense)\
anaconda-navigator,2.5.0,UNKNOWN\
conda-package-handling,2.2.0,UNKNOWN\
conda_index,0.3.0,UNKNOWN\
jieba3k,0.35.1,UNKNOWN\
libmambapy,1.5.3,UNKNOWN\
navigator-updater,0.4.0,UNKNOWN\
ruamel-yaml-conda,0.15.80,UNKNOWN\
sklearn,0.0.post10,UNKNOWN}
