[I 2024-03-21 23:02:16,528] A new study created in memory with name: no-name-ec2b763e-7aef-4c6c-bf8c-f5bebffa5c7d
[I 2024-03-21 23:33:27,391] Trial 27 finished with value: 0.3971271538918598 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:34:41,881] Trial 28 finished with value: 0.41669811196534357 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:35:59,667] Trial 29 finished with value: 0.3885319290272851 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:36:53,887] Trial 30 finished with value: 0.3860491833768679 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:37:56,766] Trial 31 finished with value: 0.3804245362661527 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:38:57,798] Trial 32 finished with value: 0.3800521326120153 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:40:15,608] Trial 33 finished with value: 0.37087362929468193 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:41:16,866] Trial 34 finished with value: 0.4221583095267306 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:42:22,610] Trial 35 finished with value: 0.36656565656565654 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:43:26,287] Trial 36 finished with value: 0.37755449229133436 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:44:31,051] Trial 37 finished with value: 0.3756057599091655 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:45:35,440] Trial 38 finished with value: 0.37458001063264224 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:46:53,942] Trial 39 finished with value: 0.3957977079860736 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:47:50,693] Trial 40 finished with value: 0.4040309298725463 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:48:44,801] Trial 41 finished with value: 0.40677299308878256 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:49:46,889] Trial 42 finished with value: 0.3878917577271822 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:50:49,316] Trial 43 finished with value: 0.41610616765415526 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:51:52,764] Trial 44 finished with value: 0.3884484198473118 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:52:47,334] Trial 45 finished with value: 0.37892897192066166 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:54:06,155] Trial 46 finished with value: 0.37527624766014855 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:55:20,926] Trial 47 finished with value: 0.4144307364643033 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:56:18,095] Trial 48 finished with value: 0.37730438464184596 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:57:20,426] Trial 49 finished with value: 0.41429657753757476 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:58:15,870] Trial 50 finished with value: 0.39153343768465165 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-21 23:59:34,312] Trial 51 finished with value: 0.3649298654561812 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:00:38,811] Trial 52 finished with value: 0.39762295875869286 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:01:52,820] Trial 53 finished with value: 0.3914208567671172 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:02:47,300] Trial 54 finished with value: 0.38915398327163037 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:03:50,187] Trial 55 finished with value: 0.35146809023540326 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:04:52,052] Trial 56 finished with value: 0.3510266754229603 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:05:50,136] Trial 57 finished with value: 0.3844405271552086 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:06:54,626] Trial 58 finished with value: 0.3853365317354237 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:07:57,523] Trial 59 finished with value: 0.3498405138033621 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:09:00,527] Trial 60 finished with value: 0.3785580779910257 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:10:17,220] Trial 61 finished with value: 0.38149715781294724 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:11:09,183] Trial 62 finished with value: 0.36920627016602253 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:11:59,951] Trial 63 finished with value: 0.3983781131149552 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:13:18,758] Trial 64 finished with value: 0.35704592657175355 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:14:09,095] Trial 65 finished with value: 0.37404197146253526 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:15:00,037] Trial 66 finished with value: 0.3903389936516871 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:15:54,366] Trial 67 finished with value: 0.38821726496486153 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:16:56,103] Trial 68 finished with value: 0.39198401014190487 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:18:12,496] Trial 69 finished with value: 0.4240901791887615 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:19:33,089] Trial 70 finished with value: 0.3709307582682196 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:20:38,727] Trial 71 finished with value: 0.36970197329330456 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:21:44,738] Trial 72 finished with value: 0.3753107642271729 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:22:41,169] Trial 73 finished with value: 0.41005082980315183 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
