[I 2024-03-22 22:26:49,859] Trial 27 finished with value: 0.594299151502997 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:26:58,989] Trial 28 finished with value: 0.5845772390664031 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:27:47,510] Trial 29 finished with value: 0.5952711066023759 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:27:58,117] Trial 30 finished with value: 0.5972034505063673 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:28:08,643] Trial 31 finished with value: 0.5859344563426362 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:28:25,516] Trial 32 finished with value: 0.6184898280254317 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:28:41,367] Trial 33 finished with value: 0.5771871407067757 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:29:58,999] Trial 34 finished with value: 0.5550180816956114 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:30:46,616] Trial 35 finished with value: 0.5972651431996389 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:31:05,382] Trial 36 finished with value: 0.6248364638457518 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:32:04,232] Trial 37 finished with value: 0.5534164700108973 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 2 with value: 0.6397804672108077.
[I 2024-03-22 22:32:38,119] Trial 38 finished with value: 0.6398383041107498 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:32:58,044] Trial 39 finished with value: 0.6289474405883075 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:34:46,220] Trial 40 finished with value: 0.587972681275598 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 300}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:35:09,390] Trial 41 finished with value: 0.5879659659226223 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:35:29,216] Trial 42 finished with value: 0.587972681275598 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:37:17,483] Trial 43 finished with value: 0.5970576314131797 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:38:35,570] Trial 44 finished with value: 0.574618666868952 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:39:12,589] Trial 45 finished with value: 0.5990026485382522 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:40:13,319] Trial 46 finished with value: 0.575611007861293 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:40:48,934] Trial 47 finished with value: 0.6051599999587617 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:41:09,008] Trial 48 finished with value: 0.5719341803707129 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:41:29,811] Trial 49 finished with value: 0.6081230018691319 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:41:52,945] Trial 50 finished with value: 0.567028877916934 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:42:13,654] Trial 51 finished with value: 0.5867565186972064 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:43:15,080] Trial 52 finished with value: 0.6047090924392537 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:43:42,123] Trial 53 finished with value: 0.6051701652320847 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 200}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:43:51,988] Trial 54 finished with value: 0.6265736740040145 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:44:24,231] Trial 55 finished with value: 0.595652019481252 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 38 with value: 0.6398383041107498.
[I 2024-03-22 22:44:37,228] Trial 56 finished with value: 0.6472386230900163 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:45:00,631] Trial 57 finished with value: 0.6160526714608514 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:45:36,650] Trial 58 finished with value: 0.5993749632041958 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
